code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,understat,fbref
52153,Miguel,Britos,Britos,413,402,379,,,,,567,356a9a62
52287,Evandro,Goebel,Evandro,630,,,,,,,5550,67dbadfc
52484,Leon,Balogun,Balogun,,,54,40,,,,394,78e68b4d
52538,Fernando Francisco,Reges,Fernando,234,251,,,,,,615,41f32541
52775,Nicolas,Nkoulou,Nkoulou,,,,,,618,,,93cf32a8
52940,Daryl,Janmaat,Janmaat,540,404,381,359,,,,764,45da6694
53371,David,Meyler,Meyler,161,,,,,,,1693,8ea6417a
54102,Jack,Wilshere,Wilshere,17,24,447,394,434,,,1036,9c318325
54284,Chris,Löwe,Löwe,,165,193,,,,,6032,c6896eab
54316,Leonardo,Ulloa,Ulloa,185,210,,,,,,756,eed56f6c
54421,Floyd,Ayité,Ayité,,,186,,,,,3328,fd5888a0
54469,Adam,Smith,Smith,34,35,29,63,,,57,825,20b104bc
54484,Francisco,Femenía Far,Femenía,,407,383,357,,382,,5043,e5d01ecf
54513,Vicente,Iborra,Iborra,,208,228,,,,,2065,ad1ffcfd
54527,Loïc,Damour,Damour,,,104,,,,,7215,074d8166
54694,Pierre-Emerick,Aubameyang,Aubameyang,,616,23,11,4,4,,318,d5dd5f1f
54756,Victor,Wanyama,Wanyama,400,389,366,348,,,,836,e0900238
