code,first_name,second_name,web_name,transfermarkt
15633,Alex,Baptiste,Baptiste,16660
15749,Joe,Hart,Hart,40204
15885,Adam,Federici,Federici,4233
15944,Michael,Kightly,Kightly,25366
15982,Dean,Marney,Marney,4055
16045,Ben,Watson,Watson,14081
17127,Per,Mertesacker,Mertesacker,6710
17336,Gaël,Clichy,Clichy,7449
17339,Steven,Davis,Davis,28973
17349,Aaron,Lennon,Lennon,14221
17476,Vincent,Kompany,Kompany,9594
17601,Scott,Carson,Carson,14555
17740,Jesús,Navas,Navas,15956
17745,Kasper,Schmeichel,Schmeichel,16911
17761,James,Tarkowski,Tarkowski,173504
17878,Cesc,Fàbregas,Fàbregas,8806
17997,Phil,Bardsley,Bardsley,15773
18006,Martin,Cranie,Cranie,27659
18008,James,Morrison,Morrison,27614
18073,Mark,Noble,Noble,31835
18155,Mathieu,Flamini,Flamini,17396
18440,Leon,Clarke,Clarke,36859
18499,Michael,McGovern,McGovern,29391
18507,Diego,Da Silva Costa,Costa,44779
18656,Heurelho da Silva,Gomes,Gomes,105112
18665,Alexander,Tettey,Tettey,12384
18726,Artur,Boruc,Boruc,15220
18759,Álvaro,Arbeloa,Arbeloa,28260
18805,Joe,Ledley,Ledley,34409
18832,Richard,Stearman,Stearman,34349
18867,Billy,Sharp,Sharp,49542
18892,Ashley,Young,Young,14086
18987,Robert,Snodgrass,Snodgrass,22614
19057,Sebastian,Larsson,Larsson,31720
19071,Uwe,Hünemeier,Hünemeier,10503
19101,Dimitrios,Konstantopoulos,Konstantopoulos,50552
19115,Curtis,Davies,Davies,18227
19151,Chris,Brunt,Brunt,36814
19159,Ashley,Williams,Williams,67355
19188,Scott,Dann,Dann,62688
19194,David,Martin,Martin,15930
19197,Jason,Puncheon,Puncheon,47995
19236,John,Ruddy,Ruddy,29712
19272,Gareth,McAuley,McAuley,40567
19342,Ikechi,Anya,Anya,107427
19419,Gary,Cahill,Cahill,27511
19520,Ryan,Babel,Babel,16135
19523,Sol,Bamba,Bamba,28984
19524,Santiago,Cazorla,Cazorla,15799
19556,David,Jones,Jones,24634
19568,Ibrahim,Afellay,Afellay,15760
19624,João Filipe Iria,Santos Moutinho,Moutinho,29364
19687,Alex,Bruce,Bruce,37957
19760,Fernando,Llorente,Llorente,35564
19812,Dusan,Kuciak,Kuciak,31886
19838,Robert,Elliot,Elliot,39037
20037,Marc,Pugh,Pugh,36939
20046,Stefano,Okaka,Okaka,35249
20047,Jordan,Rhodes,Rhodes,48950
20066,Wayne,Hennessey,Hennessey,45494
20145,Adrian,Mariappa,Mariappa,38145
20208,Charlie,Adam,Adam,28990
20310,Willy,Caballero,Caballero,19948
20399,Antonio,Barragán,Barragán,32522
20452,Shane,Long,Long,37304
20467,Theo,Walcott,Walcott,33713
20480,Tim,Krul,Krul,33027
20481,Stephen,Ireland,Ireland,34838
20487,Vito,Mannone,Mannone,33781
20529,Glenn,Murray,Murray,45693
20658,Pablo,Zabaleta,Zabaleta,20007
20664,David,Silva,David Silva,35518
20669,Shaun,MacDonald,MacDonald,10375
20695,Antonio,Valencia,Valencia,33544
21083,Nathan,Dyer,Dyer,37011
21123,Valon,Behrami,Behrami,21905
21205,Tom,Heaton,Heaton,34130
21246,Lewis,Grabban,Grabban,35413
26719,Rene,Gilmartin,Gilmartin,66518
26901,Kevin,Mirallas,Mirallas,33639
26921,Arouna,Koné,Koné,8552
27334,Mathieu,Debuchy,Debuchy,27306
27335,Stephan,Lichtsteiner,Lichtsteiner,2865
27341,Yohan,Cabaye,Cabaye,29434
27436,David,McGoldrick,McGoldrick,35416
27462,Jesús,Gámez Duarte,Gámez,29055
27698,Matthew,Connolly,Connolly,34559
27707,Darron,Gibson,Gibson,42413
27770,Birkir,Bjarnason,Bjarnason,34453
27789,Fernando,Luiz Rosa,Fernandinho,26267
28082,Ralf,Fahrmann,Fahrmann,39015
28147,Mohamed,Diamé,Diamé,70950
28160,Mario,Suárez,Suárez,37337
28244,George,Boyd,Boyd,45623
28448,Lee,Cattermole,Cattermole,37363
28462,Sam,Baldock,Baldock,67211
28468,Craig,Gardner,Gardner,37171
28495,John Obi,Mikel,Mikel,30739
28541,Fraizer,Campbell,Campbell,42411
28554,Samir,Nasri,Nasri,18935
28593,Victor,Anichebe,Anichebe,39532
28609,Adam,Legzdins,Legzdins,43858
28654,Martin,Olsson,Olsson,38073
28690,Pablo,Hernández Domínguez,Hernández,46220
32259,Darren,Randolph,Randolph,51321
32318,Marc,Wilson,Marc Wilson,30456
33148,Claudio,Bravo,Bravo,40423
33871,Ragnar,Klavan,Klavan,26669
34654,Lukas,Jutkiewicz,Jutkiewicz,33507
36903,Gareth,Bale,Bale,39381
37002,Rouwen,Hennings,Hennings,16311
37096,Lukasz,Fabianski,Fabianski,29692
37265,Alexis,Sánchez,Sánchez,40433
37339,Ahmed,El Mohamady,El Mohamady,66333
37388,Marcin,Wasilewski,Wasilewski,16947
37402,Christian,Fuchs,Fuchs,6636
37572,Sergio,Agüero,Agüero,26399
37605,Mesut,Özil,Özil,35664
37614,Mario,Vrancic,Vrancic,39372
37642,Jonny,Evans,Evans,42412
37742,Younes,Kaboul,Kaboul,27114
37748,Bacary,Sagna,Sagna,26764
37869,Ryan,Shawcross,Shawcross,45861
37901,Dimitri,Payet,Payet,37647
37915,Hugo,Lloris,Lloris,17965
37998,Bafétimbi,Gomis,Gomis,22388
38038,Ben,Hamer,Hamer,67283
38290,Danny,Rose,Rose,50174
38411,Nacho,Monreal,Monreal,43003
38419,Loïc,Remy,Remy,45121
38439,Etienne,Capoue,Capoue,63494
38454,Dejan,Lovren,Lovren,37838
38490,Beram,Kayal,Kayal,44741
38499,Tomer,Hemed,Hemed,112668
38533,Rui Pedro,dos Santos Patrício,Patrício,45026
38580,Jose,Fonte,Fonte,33829
38588,Gaetano,Berardi,Berardi,43084
38716,Lee,Peltier,Peltier,38094
39104,Mousa,Dembélé,Dembélé,19368
39155,Adam,Lallana,Lallana,43530
39158,Scott,Arfield,Arfield,55291
39167,Andrea,Ranocchia,Ranocchia,44327
39187,Jeremain,Lens,Lens,38497
39194,Jan,Vertonghen,Vertonghen,43250
39215,Michel,Vorm,Vorm,26276
39253,Jonas,Olsson,Olsson,25248
39270,Marvin,Emnes,Emnes,37787
39472,Dieumerci,Mbokani,Mbokani,44624
39476,Sokratis,Papastathopoulos,Sokratis,34322
39487,Erik,Pieters,Pieters,43763
39725,Anders,Lindegaard,Lindegaard,22491
39790,Francisco,Casilla Cortés,Casilla,27486
39847,Steven,Defour,Defour,33866
40002,Matteo,Darmian,Darmian,54906
40142,Andy,Carroll,Carroll,48066
40145,Jack,Cork,Cork,40613
40146,Ryan,Bertrand,Bertrand,40611
40202,George,Friend,Friend,77544
40232,Gonzalo,Higuaín,Higuaín,39153
40276,Bojan,Krkic Perez,Bojan,44675
40346,Erwin,Mulder,Mulder,56631
40349,Asmir,Begović,Begović,33873
40383,Fraser,Forster,Forster,52570
40386,Chris,Basham,Basham,52495
40387,Dan,Gosling,Gosling,44983
40399,Sam,Vokes,Vokes,48078
40451,Anthony,Pilkington,Pilkington,67322
40555,Joe,Allen,Allen,51452
40559,Fabricio,Agosto Ramírez,Fabri,45882
40564,Henri,Lansbury,Lansbury,44794
40616,Stephen,Ward,Ward,34691
40669,Angelo,Ogbonna,Ogbonna,48002
40694,Roberto,Jimenez Gago,Roberto,37403
40720,Edinson,Cavani,Cavani,48280
40725,Danny,Simpson,Simpson,37442
40755,Daniel,Sturridge,Sturridge,47082
40772,Gökhan,Inler,Inler,19041
40784,Mamadou,Sakho,Sakho,47713
40833,Jérémy,Pied,Pied,60583
40836,Vicente,Guaita,Guaita,64399
40845,Dale,Stephens,Stephens,49755
40868,José,Holebas,Holebas,41112
41135,Branislav,Ivanovic,Ivanovic,36827
41184,Marouane,Fellaini,Fellaini,39679
41251,Eduardo,dos Reis Carvalho,Eduardo,34159
41270,David,Luiz Moreira Marinho,David Luiz,46741
41320,Charlie,Daniels,Daniels,61819
41321,Yohan,Benalouane,Benalouane,50477
41328,César,Azpilicueta,Azpilicueta,57500
41338,Craig,Cathcart,Cathcart,59606
41464,Marko,Arnautovic,Arnautovic,41384
41674,Kevin,Long,Long,111114
41705,Bradley,Guzan,Guzan,39471
41725,Troy,Deeney,Deeney,65477
41727,Ryan,Bennett,Bennett,67252
41733,Georginio,Wijnaldum,Wijnaldum,49499
41792,Aaron,Ramsey,Ramsey,50057
41823,Fabian,Delph,Delph,50362
41926,Almen,Abdi,Abdi,9966
41945,Sebastian,Prödl,Prödl,37981
42427,Kieran,Gibbs,Gibbs,44792
42493,Mario,Balotelli,Balotelli,45146
42525,Stephen,Henderson,Henderson,52191
42564,Eric Maxim,Choupo-Moting,Choupo-Moting,45660
42583,Sébastien,Pocognoli,Pocognoli,17804
42593,Aleksandar,Kolarov,Kolarov,46156
42727,Yoan,Gouffran,Gouffran,23825
42738,Juan,Zuñiga,Zuñiga,37941
42748,Gaëtan,Bong,Bong,36291
42774,Morgan,Schneiderlin,Schneiderlin,56818
42786,Eden,Hazard,Hazard,50202
